Assembly Barcode	Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Phage Type	Lab Contact	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_AB9230AA_AS	SAL_PA7690AA	NC_SSc155	SRR7186373;ILLUMINA;Paired;500;SRX4103144;;	SAL_PA7690AA	Poultry	Avian	chicken carcass	2016				South America	Brazil							Schwarzengrund	I				FDA Center for Food Safety and Applied Nutrition		PRJNA293224	SRP070120	SAMN08951100	SRS3319243	2018-05-20	2018-05-19	Assembled	51	127036	5029942	Salmonella enterica;96.66%	105	39161	4	SAL_AB9230AA_AS
SAL_AB9249AA_AS	SAL_PA8075AA	CFSAN080459	SRR7186670;ILLUMINA;Paired;500;SRX4103430;;	SAL_PA8075AA	Poultry	Avian	Ground Component Turkey	2016				North America	United States	Indiana											FDA Center for Food Safety and Applied Nutrition		PRJNA186035	SRP018785	SAMN09227474	SRS3319363	2018-05-21	2018-05-19	Assembled	51	184057	5015270	Salmonella enterica;91.36%	108	20626	4	SAL_AB9249AA_AS
SAL_KA9149AA_AS	SAL_FA5289AA	CFSAN047635	SRR3372278;ILLUMINA;Paired;500;SRX1700959;258227008;272	SAL_FA5289AA	Poultry	Avian	Ground Chicken	2015	10			North America	United States	Indiana						Heidelberg (Predicted)					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN04535382	SRS1394110	2016-04-16	2015-01-01	Assembled	50	233832	5130157	Salmonella enterica;91.69%	93	5367	3.41	SAL_KA9149AA_AS
SAL_MA2128AA_AS	SAL_FA8506AA	CVM N38230	SRR3665307;ILLUMINA;Paired;;SRX1843815;244802800;253	SAL_FA8506AA	Poultry	Avian	Ground Turkey	2011				North America	United States	Georgia						Heidelberg					Food and Drug Administration (US)		PRJNA292661	SRP063697	SAMN05201744	SRS1502711	2016-06-30	2016-06-21	Assembled	50	299694	4891149	Salmonella enterica;98.36%	76	4839	3.51	SAL_MA2128AA_AS
SAL_NA8024AA_AS	SAL_HA4134AA	CFSAN048303	SRR5016802;ILLUMINA;Paired;500;SRX2345319;237924236;242	SAL_HA4134AA	Poultry	Avian	Chicken	2015	11			North America	United States	Washington						Heidelberg (Predicted)					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN04572890	SRS1793878	2016-11-16	2015-01-01	Assembled	50	177039	4758419	Salmonella enterica;100.0%	77	8018	3.51	SAL_NA8024AA_AS
SAL_PA2646AA_AS	SAL_HA6830AA	PNUSAS005729	SRR5110758;ILLUMINA;Paired;;SRX2423071;241088100;150	SAL_HA6830AA	ND	ND	Stool; Age: 60-69	2016	8			North America	United States							Heidelberg					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN06131796	SRS1860138	2016-12-15	2016-12-14	Assembled	50	248823	4757059	Salmonella enterica;100.0%	49	4257	3.51	SAL_PA2646AA_AS
SAL_QA4332AA_AS	SAL_IA4963AA	CFSAN059281	SRR5229136;ILLUMINA;Paired;500;SRX2537797;246695646;277	SAL_IA4963AA	Environment	Soil/Dust	Environmental sponge	2016				North America	United States	Washington						Enteritidis					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN06213691	SRS1957602	2017-02-05	2015-01-01	Assembled	50	164402	4921693	Salmonella enterica;95.88%	99	11803	3.61	SAL_QA4332AA_AS
SAL_QA4532AA_AS	SAL_IA5159AA	CFSAN057961	SRR5230331;ILLUMINA;Paired;500;SRX2538878;254286528;276	SAL_IA5159AA	Environment	Soil/Dust	Carcass Swab	2014				North America	United States	California						Enteritidis					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN06110505	SRS1958622	2017-02-06	2015-01-01	Assembled	50	364330	5072937	Salmonella enterica;82.98%	61	3972	3.61	SAL_QA4532AA_AS
SAL_SA9285AA_AS	SAL_JA6412AA	337633	SRR5583242;ILLUMINA;Paired;;SRX2841155;238116186;99	SAL_JA6412AA	Human	Human	human; Homo sapiens	2017	1			Europe	United Kingdom							Heidelberg	I				Public Health England		PRJNA248792	SRP042645	SAMN07152477	SRS2214490	2017-05-23	2017-05-23	Assembled	50	251558	4747544	Salmonella enterica;97.92%	53	1086	3.61	SAL_SA9285AA_AS
SAL_TA7072AA_AS	SAL_KA2023AA	PNUSAS016849	SRR5799574;ILLUMINA;Paired;;SRX2979041;250134710;245	SAL_KA2023AA	ND	ND	Bovine intestine	2017				North America	United States	Wisconsin						Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07287565	SRS2332934	2017-07-03	2017-07-03	Assembled	50	85662	4938798	Salmonella enterica;89.33%	145	21725	3.61	SAL_TA7072AA_AS
SAL_WA6215AA_AS	SAL_MA3910AA	CFSAN070526	SRR6237052;ILLUMINA;Paired;500;SRX3345286;258847556;242	SAL_MA3910AA	Poultry	Avian	Finished Ground Chicken	2015				North America	United States	Indiana											Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN07767907	SRS2645888	2017-10-31	2017-10-31	Assembled	50	82993	5079633	Salmonella enterica;93.98%	160	35910	3.61	SAL_WA6215AA_AS
SAL_XA1655AA_AS	SAL_MA6955AA	CFSAN071484	SRR6311174;ILLUMINA;Paired;500;SRX3411440;256016406;237	SAL_MA6955AA	Poultry	Avian	Finished Ground Chicken	2016				North America	United States	Indiana											FDA Center for Food Safety and Applied Nutrition		PRJNA186035	SRP018785	SAMN08017024	SRS2704686	2017-11-21	2017-11-21	Assembled	50	83116	5106345	Salmonella enterica;93.31%	162	31939	3.61	SAL_XA1655AA_AS
SAL_YA2155AA_AS	SAL_NA4483AA	ARIMSH515-08	SRR6451876;ILLUMINA;Paired;500;SRX3542770;255745700;245	SAL_NA4483AA	Food	Swine	food; Sus domesticus	2008				South America	Argentina							Heidelberg	I				FDA Center for Food Safety and Applied Nutrition		PRJNA277984	SRP071258	SAMN08326864	SRS2816127	2018-01-09	2018-01-09	Assembled	50	81541	5076636	Salmonella enterica;88.44%	162	31188	3.61	SAL_YA2155AA_AS
SAL_ZA8223AA_AS	SAL_OA4773AA	PNUSAS034145	SRR6881257;ILLUMINA;Paired;;SRX3833673;;	SAL_OA4773AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08774699	SRS3081292	2018-03-27	2018-03-22	Assembled	50	133987	5005100	Salmonella enterica;79.83%	137	64877	4	SAL_ZA8223AA_AS
SAL_ZA8220AA_AS	SAL_OA4776AA	PNUSAS034134	SRR6881254;ILLUMINA;Paired;;SRX3833670;;	SAL_OA4776AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08774710	SRS3081289	2018-03-27	2018-03-22	Assembled	50	191389	4758251	Salmonella enterica;100.0%	69	24720	4	SAL_ZA8220AA_AS
SAL_CB1247AA_AS	SAL_QA9558AA	PNUSAS044277	SRR7447136;ILLUMINA;Paired;;SRX4317683;;	SAL_QA9558AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN09510642	SRS3480667	2018-06-28	2018-06-28	Assembled	50	412096	4759682	Salmonella enterica;97.14%	40	49715	4	SAL_CB1247AA_AS
SAL_CB6534AA_AS	SAL_RA4644AA	391146	traces-0jexGiO;ILLUMINA;Paired;;NA;;	SAL_RA4644AA	Food	Meat	Frozen Raw Salted (min1.2%) Cut Chicken Breast Fillets Skinless Boneless	2017	6	30		Europe	United Kingdom	England		London				Salmonella Heidelberg	I				Public Health England (M. Chattaway)						2018-07-12	2019-01-14	Assembled	50	203437	5085188	Salmonella enterica;89.79%	53	85765	4	SAL_CB6534AA_AS
SAL_KA2144AA_AS	SAL_EA8578AA	NY-N19966	SRR3091410;ILLUMINA;Paired;500;SRX1521959;240366528;233	SAL_EA8578AA	Poultry	Avian	Chicken Breast	2009				North America	United States	California						Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN04224272	SRS1239967	2016-01-08	2015-01-01	Assembled	49	124107	4859718	Salmonella enterica;100.0%	167	27237	3.32	SAL_KA2144AA_AS
SAL_LA2755AA_AS	SAL_FA7491AA	CFSAN032608	SRR3606729;ILLUMINA;Paired;500;SRX1808518;239971500;225	SAL_FA7491AA	Poultry	Avian	chicken	2014	5			North America	United States	Oregon					-111.6	Heidelberg (Predicted)					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03573310	SRS1473232	2016-05-31	2015-01-01	Assembled	49	138751	4892209	Salmonella enterica;97.83%	117	13476	3.41	SAL_LA2755AA_AS
SAL_MA1735AA_AS	SAL_FA8840AA	CVM N29312	SRR3664973;ILLUMINA;Paired;;SRX1843481;256733368;227	SAL_FA8840AA	Poultry	Avian	Ground Turkey	2011				North America	United States	Georgia						Heidelberg					Food and Drug Administration (US)		PRJNA292661	SRP063697	SAMN05201494	SRS1502377	2016-06-30	2016-06-21	Assembled	49	213594	5157842	Salmonella enterica;94.32%	102	6695	3.41	SAL_MA1735AA_AS
SAL_NA2917AA_AS	SAL_HA1539AA	PNUSAS004817	SRR4450049;ILLUMINA;Paired;;SRX2268169;249944100;147	SAL_HA1539AA	ND	ND	Stool; Age: 60-69	2016	7			North America	United States							Heidelberg					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN05931187	SRS1759399	2016-10-27	2016-10-25	Assembled	49	286138	5100766	Salmonella enterica;88.64%	70	4462	3.51	SAL_NA2917AA_AS
SAL_OA4926AA_AS	SAL_HA3883AA	PNUSAS005150	SRR5023254;ILLUMINA;Paired;;SRX2349964;243827820;246	SAL_HA3883AA	ND	ND						North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN06009995	SRS1800081	2016-11-16	2016-11-15	Assembled	49	384417	4960473	Salmonella enterica;91.31%	62	8006	3.51	SAL_OA4926AA_AS
SAL_QA2542AA_AS	SAL_IA2698AA	CFSAN059203	SRR5217517;ILLUMINA;Paired;500;SRX2527666;250453278;279	SAL_IA2698AA	Poultry	Avian	Finished Ground Chicken	2016				North America	United States	Indiana						Enteritidis					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN06213753	SRS1948526	2017-01-30	2015-01-01	Assembled	49	233832	5109914	Salmonella enterica;91.78%	98	8406	3.61	SAL_QA2542AA_AS
SAL_QA5918AA_AS	SAL_IA5703AA	PNUSAS008188	SRR5249503;ILLUMINA;Paired;;SRX2555339;254610234;241	SAL_IA5703AA	ND	ND	Stool; Age: 0-4	2015	12			North America	United States							Serotype Pending					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN06318101	SRS1972803	2017-02-14	2017-02-13	Assembled	49	368244	5135170	Salmonella enterica;85.46%	76	8657	3.61	SAL_QA5918AA_AS
SAL_TA5897AA_AS	SAL_KA0885AA	PNUSAS016191	SRR5761357;ILLUMINA;Paired;;SRX2961142;244662912;248	SAL_KA0885AA	Wild animal	ND	bovine feces	2017				North America	United States	Wisconsin						Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07260923	SRS2318003	2017-06-27	2017-06-27	Assembled	49	522020	4968872	Salmonella enterica;72.03%	75	10603	3.61	SAL_TA5897AA_AS
SAL_TA6345AA_AS	SAL_KA1091AA	OH-16-28066	SRR5760695;ILLUMINA;Paired;500;SRX2960523;253594596;222	SAL_KA1091AA	Poultry	Avian	Turkey Fluff	2016				North America	United States	Ohio						Heidelberg (Predicted)					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA338674	SRP083283	SAMN07184761	SRS2317432	2017-06-28	2017-06-27	Assembled	49	240061	5140703	Salmonella enterica;89.99%	82	7269	3.61	SAL_TA6345AA_AS
SAL_TA9026AA_AS	SAL_KA3337AA	PNUSAS016648	SRR5820890;ILLUMINA;Paired;;SRX2998771;250279308;243	SAL_KA3337AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07332348	SRS2349703	2017-07-13	2017-07-12	Assembled	49	111111	5087735	Salmonella enterica;90.41%	106	23459	3.61	SAL_TA9026AA_AS
SAL_VA7895AA_AS	SAL_LA6689AA	PNUSAS023307	SRR6107352;ILLUMINA;Paired;;SRX3222385;235955778;237	SAL_LA6689AA								North America	United States												Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07675950	SRS2546983	2017-09-28	2017-09-27	Assembled	49	298201	4726909	Salmonella enterica;100.0%	59	7195	3.61	SAL_VA7895AA_AS
SAL_XA6554AA_AS	SAL_MA9947AA	CVM N16S077	SRR6351032;ILLUMINA;Paired;;SRX3447511;237161088;288	SAL_MA9947AA	Poultry	Avian	Chicken legs	2016				North America	United States	New York		New York				Heidelberg					FDA		PRJNA292661	SRP063697	SAMN08113956	SRS2737461	2017-12-06	2017-12-06	Assembled	49	178672	4762456	Salmonella enterica;96.0%	61	10171	3.61	SAL_XA6554AA_AS
SAL_XA6527AA_AS	SAL_MA9974AA	CVM N16S067	SRR6351059;ILLUMINA;Paired;;SRX3447484;268097544;286	SAL_MA9974AA	Poultry	Avian	ground turkey	2016				North America	United States	New Mexico						Heidelberg					FDA		PRJNA292661	SRP063697	SAMN08113946	SRS2737435	2017-12-06	2017-12-06	Assembled	49	227283	5444832	Salmonella enterica;76.15%	130	8826	3.61	SAL_XA6527AA_AS
SAL_YA7469AA_AS	SAL_NA9014AA	PNUSAS031560	SRR6666860;ILLUMINA;Paired;;SRX3643721;;	SAL_NA9014AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08449359	SRS2908467	2018-02-07	2018-02-02	Assembled	49	200632	4760308	Salmonella enterica;100.0%	54	5694	3.61	SAL_YA7469AA_AS
SAL_AB2689AA_AS	SAL_PA1512AA	PNUSAS037718	SRR6994826;ILLUMINA;Paired;;SRX3929576;;	SAL_PA1512AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08922689	SRS3162654	2018-04-12	2018-04-12	Assembled	49	231402	4758917	Salmonella enterica;100.0%	57	17657	4	SAL_AB2689AA_AS
SAL_BB1010AA_AS	SAL_PA9395AA	NC_SH692	SRR7232613;ILLUMINA;Paired;500;SRX4139022;;	SAL_PA9395AA	Poultry	Air	Chicken thigh and drumstick	2016				South America	Brazil							Heidelberg	I				FDA Center for Food Safety and Applied Nutrition		PRJNA293224	SRP070120	SAMN09207893	SRS3352870	2018-05-30	2018-05-30	Assembled	49	207930	5080795	Salmonella enterica;94.03%	85	21083	4	SAL_BB1010AA_AS
SAL_KA3025AA_AS	SAL_EA9435AA	PNUSAS001476	SRR3137083;ILLUMINA;Paired;;SRX1555610;232874576;244	SAL_EA9435AA	ND	ND	Blood; Age: 40-49	2015	12			North America	United States							Serotype Pending					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN04445982	SRS1271370	2016-02-03	2016-02-01	Assembled	48	245458	4804083	Salmonella enterica;100.0%	78	15970	3.32	SAL_KA3025AA_AS
SAL_LA0422AA_AS	SAL_FA2565AA	CVM-N19822	SRR3289784;ILLUMINA;Paired;500;SRX1659678;250416960;240	SAL_FA2565AA	Poultry	Avian	Ground Turkey	2008				North America	United States	Maryland						Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183847	SRP028894	SAMN04218256	SRS1359734	2016-03-24	2015-01-01	Assembled	48	223558	5195916	Salmonella enterica;80.54%	93	9995	3.41	SAL_LA0422AA_AS
SAL_MA7256AA_AS	SAL_GA8684AA	ADRDL 16-3225	SRR4113487;ILLUMINA;Paired;500;SRX2085130;246917682;219	SAL_GA8684AA	Livestock	Bovine	Bovine intestine (Bos taurus)	2016	2			North America	United States	South Dakota						Heidelberg (Predicted)					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA280335	SRP059853	SAMN04993443	SRS1662838	2016-09-02	2015-01-01	Assembled	48	431189	5129284	Salmonella enterica;88.49%	102	17899	3.51	SAL_MA7256AA_AS
SAL_QA2584AA_AS	SAL_IA2667AA	CFSAN059217	SRR5217558;ILLUMINA;Paired;500;SRX2527707;248262016;272	SAL_IA2667AA	Poultry	Avian	Finished Ground Chicken	2016				North America	United States	Indiana						Enteritidis					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN06213739	SRS1948567	2017-01-30	2015-01-01	Assembled	48	177424	5072485	Salmonella enterica;91.79%	94	9527	3.61	SAL_QA2584AA_AS
SAL_QA4524AA_AS	SAL_IA5167AA	CFSAN057953	SRR5230323;ILLUMINA;Paired;500;SRX2538870;240949656;276	SAL_IA5167AA	Environment	Water	ND	2014				North America	United States	Arizona						Enteritidis					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN06110513	SRS1958614	2017-02-06	2015-01-01	Assembled	48	178982	4996336	Salmonella enterica;84.37%	75	10373	3.61	SAL_QA4524AA_AS
SAL_TA0695AA_AS	SAL_JA6652AA	PNUSAS011703	SRR5590275;ILLUMINA;Paired;;SRX2847381;247770090;243	SAL_JA6652AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07146587	SRS2220351	2017-05-24	2017-05-23	Assembled	48	361248	5062670	Salmonella enterica;79.97%	75	17134	3.61	SAL_TA0695AA_AS
SAL_TA7362AA_AS	SAL_KA2175AA	FDA00003783	SRR5804716;ILLUMINA;Paired;500;SRX2983928;230134100;233	SAL_KA2175AA	Environment	Soil/Dust	swab	2011	1			North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN02847203	SRS2336759	2017-07-05	2017-07-05	Assembled	48	95080	4766306	Salmonella enterica;97.06%	115	22295	3.61	SAL_TA7362AA_AS
SAL_UA6948AA_AS	SAL_KA9609AA	PNUSAS020792	SRR5948424;ILLUMINA;Paired;;SRX3107192;234028494;237	SAL_KA9609AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07508839	SRS2442444	2017-08-22	2017-08-21	Assembled	48	291437	4778739	Salmonella enterica;98.03%	76	12371	3.61	SAL_UA6948AA_AS
SAL_WA1923AA_AS	SAL_MA0040AA	PNUSAS024879	SRR6155476;ILLUMINA;Paired;;SRX3267314;233754768;234	SAL_MA0040AA								North America	United States												Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07730727	SRS2579492	2017-10-11	2017-10-10	Assembled	48	298841	4836553	Salmonella enterica;100.0%	132	22824	3.61	SAL_WA1923AA_AS
SAL_WA2063AA_AS	SAL_MA0494AA	PNUSAS022015	SRR6158642;ILLUMINA;Paired;;SRX3270279;243639090;243	SAL_MA0494AA								North America	United States												Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07625239	SRS2581986	2017-10-12	2017-10-11	Assembled	48	93330	5066384	Salmonella enterica;92.26%	125	21115	3.61	SAL_WA2063AA_AS
SAL_WA9873AA_AS	SAL_MA5748AA	CFSAN071225	SRR6286288;ILLUMINA;Paired;500;SRX3387670;250583856;236	SAL_MA5748AA	Poultry	Avian	Ground Component Chicken	2015				North America	United States	Indiana											Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN08017103	SRS2683014	2017-11-14	2017-11-13	Assembled	48	75699	5140385	Salmonella enterica;94.77%	181	30821	3.61	SAL_WA9873AA_AS
SAL_XA2350AA_AS	SAL_MA7829AA	CFSAN071813	SRR6321929;ILLUMINA;Paired;500;SRX3421752;238967974;239	SAL_MA7829AA	ND	ND	Enrichment	2016				North America	United States	Indiana											FDA Center for Food Safety and Applied Nutrition		PRJNA186035	SRP018785	SAMN08040190	SRS2713514	2017-11-24	2017-11-24	Assembled	48	69375	4907615	Salmonella enterica;97.82%	155	35172	3.61	SAL_XA2350AA_AS
SAL_AB4430AA_AS	SAL_PA3383AA	PNUSAS039130	SRR7063525;ILLUMINA;Paired;;SRX3994413;;	SAL_PA3383AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08981896	SRS3218575	2018-04-26	2018-04-25	Assembled	48	204734	5105378	Salmonella enterica;89.16%	98	43847	4	SAL_AB4430AA_AS
SAL_AB5106AA_AS	SAL_PA3793AA	NC_SH264	SRR7079314;ILLUMINA;Paired;500;SRX4009085;;	SAL_PA3793AA	Food	Plant	truck after cleaning	2016				South America	Brazil							Heidelberg	I				FDA Center for Food Safety and Applied Nutrition		PRJNA293224	SRP070120	SAMN08951114	SRS3230948	2018-04-30	2018-04-28	Assembled	48	82756	5026911	Salmonella enterica;97.64%	138	50873	4	SAL_AB5106AA_AS
SAL_BB0189AA_AS	SAL_PA8543AA	245624	SRR7215970;ILLUMINA;Paired;;SRX4122893;;	SAL_PA8543AA	Human	Human	human; Homo sapiens	2016	4			Europe	United Kingdom							Salmonella Heidelberg	I				Public Health England		PRJNA248792	SRP042645	SAMN09257881	SRS3337517	2018-05-25	2018-05-25	Assembled	48	234520	4725484	Salmonella enterica;100.0%	66	11687	4	SAL_BB0189AA_AS
SAL_BB0272AA_AS	SAL_PA8814AA	I2005001352	SRR7196767;ILLUMINA;Paired;500;SRX4112593;;	SAL_PA8814AA	Poultry	Avian	chicken	2005	4			North America	United States	Minnesota						Heidelberg	I				FDA Center for Food Safety and Applied Nutrition		PRJNA215333	SRP032981	SAMN08556614	SRS3328043	2018-05-25	2018-05-23	Assembled	48	298794	4913677	Salmonella enterica;88.57%	89	30901	4	SAL_BB0272AA_AS
SAL_CB6587AA_AS	SAL_RA4694AA	371943	traces-0apciSH;ILLUMINA;Paired;;NA;;	SAL_RA4694AA	Food	Meat	Frozen Raw Frozen Salted Chicken	2017	5	10		Europe	United Kingdom	England		Suffolk				Salmonella Heidelberg	I				Public Health England (M. Chattaway)						2018-07-12	2019-01-14	Assembled	48	202372	5023687	Salmonella enterica;94.87%	88	18505	4	SAL_CB6587AA_AS
SAL_CB6593AA_AS	SAL_RA4700AA	370939	traces-0rQMKVu;ILLUMINA;Paired;;NA;;	SAL_RA4700AA	Food	Meat	Frozen Salted (min 1.2%) Cut Chicken Breast	2017	5	8		Europe	United Kingdom	England		London				Salmonella Heidelberg	I				Public Health England (M. Chattaway)						2018-07-12	2019-01-14	Assembled	48	193604	5026809	Salmonella enterica;96.55%	61	20182	4	SAL_CB6593AA_AS
SAL_JA9133AA_AS	SAL_EA5481AA	NY-N22	SRR2962666;ILLUMINA;Paired;500;SRX1453590;232585584;231	SAL_EA5481AA	Poultry	Avian	Ground Turkey	2004				North America	United States	California						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN02777810	SRS1181260	2015-11-29	2015-01-01	Assembled	47	321816	4882518	Salmonella enterica;100.0%	57	7791	3.32	SAL_JA9133AA_AS
SAL_KA3607AA_AS	SAL_EA9864AA	CFSAN038553	SRR3152524;ILLUMINA;Paired;500;SRX1565263;226835216;232	SAL_EA9864AA	Environment	Plant	Raw Macadamia Nuts	2015	8			North America	United States	New York		New York				Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN04102312	SRS1279491	2016-02-09	2015-01-01	Assembled	47	120002	4757118	Salmonella enterica;100.0%	134	16343	3.32	SAL_KA3607AA_AS
SAL_LA9653AA_AS	SAL_FA9674AA	CFSAN042066	SRR3057197;ILLUMINA;Paired;500;SRX1503051;244563072;208	SAL_FA9674AA	Poultry	Avian	Poultry	2015	3			North America	United States	Indiana						Heidelberg (Predicted)					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN04277217	SRS1224106	2016-06-30	2015-01-01	Assembled	47	291505	5147887	Salmonella enterica;84.7%	105	9223	3.41	SAL_LA9653AA_AS
SAL_NA6172AA_AS	SAL_HA2743AA	CFSAN048244	SRR5000295;ILLUMINA;Paired;500;SRX2332745;243532880;265	SAL_HA2743AA	Poultry	Avian	Chicken	2015	10			North America	United States	Indiana						Heidelberg (Predicted)					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN04572826	SRS1786995	2016-11-08	2015-01-01	Assembled	47	231495	5143004	Salmonella enterica;90.65%	95	6173	3.51	SAL_NA6172AA_AS
SAL_NA5795AA_AS	SAL_HA3007AA	PNUSAS004617	SRR4841850;ILLUMINA;Paired;;SRX2321824;254677922;239	SAL_HA3007AA	ND	ND						North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN05936821	SRS1778236	2016-11-08	2016-11-02	Assembled	47	154347	5337362	Salmonella enterica;76.6%	131	36290	3.51	SAL_NA5795AA_AS
SAL_PA0809AA_AS	SAL_HA4181AA	CFSAN048317	SRR5034614;ILLUMINA;Paired;500;SRX2359233;239055604;271	SAL_HA4181AA	Poultry	Avian	Chicken	2015	11			North America	United States	Indiana						Heidelberg (Predicted)					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN04572910	SRS1807880	2016-11-18	2015-01-01	Assembled	47	261704	5079824	Salmonella enterica;90.33%	81	4987	3.51	SAL_PA0809AA_AS
SAL_QA6050AA_AS	SAL_IA5571AA	FSIS1710175	SRR5251077;ILLUMINA;Paired;300;SRX2556802;225504640;148	SAL_IA5571AA	Poultry	Avian	Raw Intact Chicken	2017				North America	United States	Alabama						Heidelberg	I				Department of Agriculture - Food Safety and Inspection Service (US)		PRJNA242847	SRP040648	SAMN06328382	SRS1974198	2017-02-14	2017-02-13	Assembled	47	412025	4733782	Salmonella enterica;100.0%	46	7182	3.61	SAL_QA6050AA_AS
SAL_TA0282AA_AS	SAL_JA5417AA	369978	SRR5585257;ILLUMINA;Paired;;SRX2843171;236847006;99	SAL_JA5417AA	Food	ND	ND	2017	5			Europe	United Kingdom							Heidelberg	I				Public Health England		PRJNA248792	SRP042645	SAMN07155903	SRS2216490	2017-05-23	2017-05-23	Assembled	47	185372	4950246	Salmonella enterica;94.29%	80	1223	3.61	SAL_TA0282AA_AS
